;CODICE;DESCRIZIONE;;;;;
341;26.70.11;Fabbricazione di elementi ottici e strumenti ottici di precisione;;;;;
342;26.70.12;Fabbricazione di attrezzature ottiche di misurazione e controllo;;;;;
343;26.70.20;Fabbricazione di apparecchiature fotografiche e cinematografiche;;;;;
344;26.80.00;Fabbricazione di supporti magnetici ed ottici;;;;;
345;27;FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE;;;;;
346;27.11.00;Fabbricazione di motori, generatori e trasformatori elettrici;;;;;
347;27.12.00;Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità;;;;;
348;27.20.00;Fabbricazione di batterie di pile ed accumulatori elettrici;;;;;
349;27.31.01;Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini;;;;;
350;27.31.02;Fabbricazione di fibre ottiche;;;;;
351;27.32.00;Fabbricazione di altri fili e cavi elettrici ed elettronici;;;;;
352;27.33.01;Fabbricazione di apparecchiature in plastica non conduttiva;;;;;
353;27.33.09;Fabbricazione di altre attrezzature per cablaggio;;;;;
354;27.40.01;Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto;;;;;
355;27.40.09;Fabbricazione di altre apparecchiature per illuminazione;;;;;
356;27.51.00;Fabbricazione di elettrodomestici;;;;;
357;27.52.00;Fabbricazione di apparecchi per uso domestico non elettrici;;;;;
358;27.90.01;Fabbricazione di apparecchiature elettriche per saldature e brasature;;;;;
359;27.90.02;Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione;;;;;
360;27.90.03;Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori;;;;;
361;27.90.09;Fabbricazione di altre apparecchiature elettriche nca;;;;;
362;28;FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA;;;;;
363;28.11.11;Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili);;;;;
364;28.11.12;Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna;;;;;
365;28.11.20;Fabbricazione di turbine e turboalternatori (incluse parti e accessori);;;;;
366;28.12.00;Fabbricazione di apparecchiature fluidodinamiche;;;;;
367;28.13.00;Fabbricazione di altre pompe e compressori;;;;;
368;28.14.00;Fabbricazione di altri rubinetti e valvole;;;;;
